"GpoName","GpoGuid","RestrictedGroup","SamAccountName","DisplayName","Email","ObjectClass","AccountType","SID","Enabled","LastLogon","ResolutionPath","IsLeaf"
"DelegatedAdmin - RIFP","{072322f5-3db9-486d-863c-24c94a87848a}","BUILTIN\Administrators","Veeambr28","","","unknown","Service Account","S-1-5-21-1177238915-362288127-1801674531-24802",,,"BUILTIN\Administrators","True"
"DelegatedAdmin - RIFP","{072322f5-3db9-486d-863c-24c94a87848a}","BUILTIN\Administrators","r_Richmond_Site_Admin","","","unknown","User Account","S-1-5-21-1177238915-362288127-1801674531-20511",,,"BUILTIN\Administrators","True"
"DelegatedAdmin - RIFP","{072322f5-3db9-486d-863c-24c94a87848a}","BUILTIN\Administrators","order00","","","unknown","User Account","S-1-5-21-1177238915-362288127-1801674531-3603",,,"BUILTIN\Administrators","True"
"DelegatedAdmin - RIFP","{072322f5-3db9-486d-863c-24c94a87848a}","BUILTIN\Administrators","Domain Admins","","","unknown","User Account","S-1-5-21-1177238915-362288127-1801674531-512",,,"BUILTIN\Administrators","True"
"DelegatedAdmin - RIFP","{072322f5-3db9-486d-863c-24c94a87848a}","BUILTIN\Administrators","Administrator","","","localUser","Local Account","",,,"BUILTIN\Administrators","True"
"DelegatedAdmin - SIFP","{187b15ca-a6fb-4352-a6dd-be68af1efb9d}","BUILTIN\Administrators","veeam.sifp","","","unknown","Service Account","S-1-5-21-1177238915-362288127-1801674531-20730",,,"BUILTIN\Administrators","True"
"DelegatedAdmin - SIFP","{187b15ca-a6fb-4352-a6dd-be68af1efb9d}","BUILTIN\Administrators","r_Seaboard_Site_Admin","","","unknown","User Account","S-1-5-21-1177238915-362288127-1801674531-20121",,,"BUILTIN\Administrators","True"
"DelegatedAdmin - SIFP","{187b15ca-a6fb-4352-a6dd-be68af1efb9d}","BUILTIN\Administrators","order00","","","unknown","User Account","S-1-5-21-1177238915-362288127-1801674531-3603",,,"BUILTIN\Administrators","True"
"DelegatedAdmin - SIFP","{187b15ca-a6fb-4352-a6dd-be68af1efb9d}","BUILTIN\Administrators","Domain Admins","","","unknown","User Account","S-1-5-21-1177238915-362288127-1801674531-512",,,"BUILTIN\Administrators","True"
"DelegatedAdmin - SIFP","{187b15ca-a6fb-4352-a6dd-be68af1efb9d}","BUILTIN\Administrators","Administrator","","","localUser","Local Account","",,,"BUILTIN\Administrators","True"
"DelegatedAdmin - TIFP","{e8a17927-5e59-4e70-bacd-dea74c6733cd}","BUILTIN\Administrators","r_Tampa_Site_Admin","","","unknown","User Account","S-1-5-21-1177238915-362288127-1801674531-20476",,,"BUILTIN\Administrators","True"
"DelegatedAdmin - TIFP","{e8a17927-5e59-4e70-bacd-dea74c6733cd}","BUILTIN\Administrators","order00","","","unknown","User Account","S-1-5-21-1177238915-362288127-1801674531-3603",,,"BUILTIN\Administrators","True"
"DelegatedAdmin - TIFP","{e8a17927-5e59-4e70-bacd-dea74c6733cd}","BUILTIN\Administrators","Domain Admins","","","unknown","User Account","S-1-5-21-1177238915-362288127-1801674531-512",,,"BUILTIN\Administrators","True"
"DelegatedAdmin - TIFP","{e8a17927-5e59-4e70-bacd-dea74c6733cd}","BUILTIN\Administrators","Administrator","","","localUser","Local Account","",,,"BUILTIN\Administrators","True"
